知识点,问题,,问题对应知识点,备注
知识1：print(),问题1（小试牛刀）,"判断：编写Python语句，输入字符时，输入法是英文模式。
答案：正确 ",知识点1,
,问题2（闯关挑战）,"选择——选择正确的Python语句，执行让计算机显示“I am a Chinese."" A.print(I am a Chinese) B.print('I am a Chinese')
答案：B ",知识点1,
知识2：单双引号,问题1（小试牛刀）,选择——选择正确的Python语句，让计算显示“It's a dog."A.print('It's a dog.') B print("It's a dog.")答案：B,知识点2,
,问题2（闯关挑战）,"诗词大会——喜欢古诗词的小明想编写程序古诗《相思》的程序，请你帮帮他。
相思
唐·王维
红豆生南国，
春来发几支。
愿君多采撷，
此物最相思。
参考答案：print('相思')
print('唐·王维')
print('红豆生南国，')
print('春来发几支。')
print('愿君多采撷，')
print('此物最相思。')","知识点1
知识点2",
知识点3：print(''*n),问题1（小试牛刀）,"重要的事情说三遍——编写程序让计算机开口说3遍“中国加油！”
答案：print('中国加油'*3) ",知识点3,
,问题2（闯关挑战）,"灵魂画手——编写程序，让计算计算显示30个*号组成的图形。
答案：print('*'*30)   ","知识点2
知识点3",
知识点4：回车换行,问题1（小试牛刀）,判断——计算机显示多段文字，加上\n换行符就可以完成。答案：正确。,知识点4,
,问题2（闯关挑战）,"配对——将代码与对应的运行结果进行连线。
A.print('亲爱的爸爸：\n祝您生日快乐!（*^_^*)')      1.亲爱的爸爸：
                                                                                  祝您生日快乐!（*^_^*)        
B.print('亲爱的爸爸:\n    祝您生日快乐!（*^_^*)')     2.亲爱的爸爸:
                                                                           祝您生日快乐!（*^_^*)
","知识点1
知识点4",
知识点5：变量,问题1（小试牛刀）,"选择——Python中给变量命名规则，说法正确的有（     ）
A.必须遵循英语字母区分大小原则。
B.允许运用汉字。
C.允许运用数字。
D.第一个字符只能是字母或者下划线或汉字。
答案：ABCD",知识点5,
,问题2（闯关挑战）,"帮帮忙——小明的朋友天天今年6岁，天天姐姐今年的年龄是小明年龄的2倍，再过6年天天和姐姐的年龄分别是多少岁？小明想用Python计算并显示天天和他姐姐再过6年分别的年龄。小明设置天天的年龄为变量a,姐姐的变量为b.a=6,b=a*2。请你帮他写出核心的python语句，答案：print(a+6,b+6)","知识点1
知识点5",
知识点6：input(),问题1（小试牛刀）,"帮帮忙——小明收到任务卡：让编程社团的同学将自己的姓名输入计算机，如左图所示。请帮他编写核心语句。
*********
print(""你好,""+姓名)
答案：姓名=input(""你叫什么名字"")","知识点1
知识点5
知识点6","=DISPIMG(""ID_45DE0DDACF9748019A0EF6356C6AAFDD"",1)"
,问题2（闯关挑战）,"编程—小明还想让同学将自己的兴趣爱好输入并显示在电脑上，输入以下代码能否实现这个功能？
爱好=input(""你的爱好是？"")
print(爱好) ","知识点1
知识点5
知识点6",
知识点7：算术运算,问题1（小试牛刀）,"连线——将算术运算符与表示的含义进行连线。
a*b               向下取接近a除以b的整数
a/b               返回a除以b的余数
a%b               返回a与b的乘积
a//b              返回a除以b
答案：a*b——返回a与b的乘积；a/b——返回a除以b；a%b——返回a除以b的余数；a//b——向下取接近a除以b的整数  ",知识点7,
,问题2（闯关挑战）,"编程——小明想设计一款计算器，运用print函数、算术运算符，检查自己的数学口算作业，例如124*25÷4-32。请你帮他编写程序，实现这个愿望。
答案：print((124*25)/4-32)","知识点1
知识点7",
知识点8：字符串,问题1（小试牛刀）,"选择——想一想，试一试，print(str(100)+str(100))是什么结果（       ）print(str(100+100))又是什么结果(        )
A.200 B.100100",知识点8,
,,"编程——小明打算改进自己的计算器，改进后的计算器既显示算式又显示答案，那样看起来更清晰舒服。请你帮他编写程序。以算式124*25÷4-32为例。
答案：print('(124*25)/4-32='+str(124*25/4-32))","知识点1
知识点8",
,问题2（闯关挑战）,"选择——小明想给好朋友Andy,发送一条生日祝福，祝他10岁生日快乐。屏幕显示如下，哪段代码正确？
Dear Andy:
Happy10th birthday!。
A：                                                                B：
age=10                                                             age=10
message=""happy ""+str(age)+""th Birtday!""            message=""happy ""+age+""th Birtday!""  
print('Dear Andy:\n'+str(message))                      print('Dear Andy：\n'+message)","知识点1
知识点4
知识点5
知识点8",
知识点9：eval()函数,问题1（小试牛刀）,"print(2*3)语句与下列哪个语句现在计算机显示“6”？
A.print(eval('2*3')  B.print('2*3')
答案：A","知识点1
知识点8
知识点9 ",3.24晚新增
,问题2（闯关挑战）,"编程——超级计算器,小明想设计一款超级计算器，大家根据提示“请输入算式：”输入算式，并且计算通过“结果是： ”将计算结果显示出来。请帮他编程实现这个设计。
答案：print(""结果是："",eval(input('请输入算式：')))","知识点1
知识点6
知识点8
知识点9 ",
知识点10：#注释,问题1（小试牛刀）,"以让计算机显示古诗《相思》为例，为没有注释的程序增加注释，方便对程序的阅读和修改。
print('相思')    #输出古诗的标题  
print('唐·王维')
print('红豆生南国，')
print('春来发几支。')
print('愿君多采撷，')
print('此物最相思。')
答案：#输出古诗的朝代和作者；#输出古诗的第一句；#输出古诗的第二句；#输出古诗的第三句；
#输出古诗的第三句；","知识点1
知识点2
知识点10",
出门测：,＊,"print的作用是什么？（ ）
A.在屏幕上打印出来相应的文本或者数字等
B.在打印机里打印相关文本或者数字等
C.可以用来画图
D. 输出一个命令行
答案：A",知识点1,
,＊＊,"a=""110""，b=""9"",c=a+b,print(c)的结果是？（ ）
A.a+b  B.119 C.c D.1109 
答案：D","知识点1
知识点2
知道点8",
,＊＊＊,"写一封信给家人，告诉他们你在中科大Python夏令营，发现Python编程如此有趣，请用print函数按如下格式打印出来。
亲爱的爸爸妈妈：
    It'sinteresting of Python .谢谢你们让我参加中科大夏令营!我会加油！我会加油！我会加油！
答案：print(""亲爱的爸爸妈妈:\n  It's interesting of Python .谢谢你们让我参加中科大夏令营!""","知识点1
知识点2
知道点4",
,,,,
,,,,
,,,,
